BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarscape 1 demo.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vision-meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/17/2022 21:48:31:766 +0800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,0,49,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],visualization,initial-population,max-metabolism,max-vision,[step],count turtles,mean [vision] of turtles,mean [metabolism] of turtles,,survival-rate,survival-rate-average,vision/metabolism,mean-vision/metabolism,,,,,,,,,,,,,,,
906,no-visualization,550,10,1,800,117,1,1.743589744,,0.212727273,,0.573529412,,,,,,,,,,,,,,,,
907,no-visualization,550,10,1,800,100,1,1.8,,0.181818182,,0.555555556,,,,,,,,,,,,,,,,
908,no-visualization,550,10,1,800,114,1,1.868421053,,0.207272727,,0.535211268,,,,,,,,,,,,,,,,
909,no-visualization,550,10,1,800,117,1,1.666666667,,0.212727273,,0.6,,,,,,,,,,,,,,,,
910,no-visualization,550,10,1,800,104,1,1.855769231,,0.189090909,,0.538860104,,,,,,,,,,,,,,,,
911,no-visualization,550,10,2,800,118,1.525423729,1.838983051,,0.214545455,22.0%,0.829493088,0.8,,,,,,,,,,,,,,,
912,no-visualization,550,10,2,800,113,1.584070796,1.831858407,,0.205454545,,0.8647343,,,,,,,,,,,,,,,,
913,no-visualization,550,10,2,800,128,1.5546875,1.9453125,,0.232727273,,0.799196787,,,,,,,,,,,,,,,,
914,no-visualization,550,10,2,800,105,1.514285714,1.942857143,,0.190909091,,0.779411765,,,,,,,,,,,,,,,,
915,no-visualization,550,10,2,800,119,1.504201681,1.974789916,,0.216363636,,0.761702128,,,,,,,,,,,,,,,,
916,no-visualization,550,10,2,800,117,1.52991453,1.914529915,,0.212727273,,0.799107143,,,,,,,,,,,,,,,,
917,no-visualization,550,10,2,800,141,1.489361702,1.829787234,,0.256363636,,0.813953488,,,,,,,,,,,,,,,,
