BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,
Sugarscape 1 demo.nlogo,,,,,,,,,,,,,,,,,,,,,,
popu-meta,,,,,,,,,,,,,,,,,,,,,,
02/18/2022 22:29:17:435 +0800,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,
0,49,0,49,,,,,,,,,,,,,,,,,,,
[run number],max-sugar,visualization,initial-population,max-vision,max-metabolism,[step],mean [metabolism] of turtles,,average-mean-meta,,,,,,,,,,,,,
164,10,no-visualization,200,6,7,800,1.947368421,,,,,,,,,,,,,,,
165,10,no-visualization,200,6,7,800,2.106666667,,,,,,,,,,,,,,,
166,10,no-visualization,200,6,7,800,2,,,,,,,,,,,,,,,
167,10,no-visualization,200,6,7,800,1.898734177,,,,,,,,,,,,,,,
168,10,no-visualization,200,6,7,800,2.12345679,,,,,,,,,,,,,,,
169,10,no-visualization,200,6,7,800,1.890410959,,,,,,,,,,,,,,,
170,10,no-visualization,200,6,7,800,1.895522388,,,,,,,,,,,,,,,
171,10,no-visualization,200,6,8,800,1.953125,,2.065250629,,,,,,,,,,,,,
172,10,no-visualization,200,6,8,800,2.017857143,,,,,,,,,,,,,,,
173,10,no-visualization,200,6,8,800,2.183098592,,,,,,,,,,,,,,,
174,10,no-visualization,200,6,8,800,2.090909091,,,,,,,,,,,,,,,
175,10,no-visualization,200,6,8,800,2.043478261,,,,,,,,,,,,,,,
176,10,no-visualization,200,6,8,800,2.104477612,,,,,,,,,,,,,,,
177,10,no-visualization,200,6,8,800,1.985294118,,,,,,,,,,,,,,,
178,10,no-visualization,200,6,8,800,2.037037037,,,,,,,,,,,,,,,
179,10,no-visualization,200,6,8,800,2.103896104,,,,,,,,,,,,,,,
180,10,no-visualization,200,6,8,800,2.133333333,,,,,,,,,,,,,,,
181,10,no-visualization,200,6,9,800,1.833333333,,2.043659425,,,,,,,,,,,,,
182,10,no-visualization,200,6,9,800,1.981818182,,,,,,,,,,,,,,,
183,10,no-visualization,200,6,9,800,2.28,,,,,,,,,,,,,,,
184,10,no-visualization,200,6,9,800,2.132352941,,,,,,,,,,,,,,,
185,10,no-visualization,200,6,9,800,2,,,,,,,,,,,,,,,
186,10,no-visualization,200,6,9,800,2.181818182,,,,,,,,,,,,,,,
187,10,no-visualization,200,6,9,800,2.070175439,,,,,,,,,,,,,,,
