BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,
Sugarscape 2 demo.nlogo,,,,,,,,,,,,,,,,,,,,,,
popu-meta,,,,,,,,,,,,,,,,,,,,,,
02/18/2022 21:12:08:631 +0800,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,
0,49,0,49,,,,,,,,,,,,,,,,,,,
[run number],max-sugar,visualization,initial-population,max-metabolism,max-vision,[step],mean [metabolism] of turtles,,average-mean-meta,,,,,,,,,,,,,
105,25,color-agents-by-vision,200,1,6,800,1,,,,,,,,,,,,,,,
106,25,color-agents-by-vision,200,1,6,800,1,,,,,,,,,,,,,,,
107,25,color-agents-by-vision,200,1,6,800,1,,,,,,,,,,,,,,,
108,25,color-agents-by-vision,200,1,6,800,1,,,,,,,,,,,,,,,
109,25,color-agents-by-vision,200,1,6,800,1,,,,,,,,,,,,,,,
110,25,color-agents-by-vision,200,1,6,800,1,,,,,,,,,,,,,,,
111,25,color-agents-by-vision,200,2,6,800,1.569060773,,1.47709692,,,,,,,,,,,,,
112,25,color-agents-by-vision,200,2,6,800,1.467836257,,,,,,,,,,,,,,,
113,25,color-agents-by-vision,200,2,6,800,1.403409091,,,,,,,,,,,,,,,
114,25,color-agents-by-vision,200,2,6,800,1.510989011,,,,,,,,,,,,,,,
115,25,color-agents-by-vision,200,2,6,800,1.427777778,,,,,,,,,,,,,,,
116,25,color-agents-by-vision,200,2,6,800,1.494252874,,,,,,,,,,,,,,,
117,25,color-agents-by-vision,200,2,6,800,1.479768786,,,,,,,,,,,,,,,
118,25,color-agents-by-vision,200,2,6,800,1.471910112,,,,,,,,,,,,,,,
119,25,color-agents-by-vision,200,2,6,800,1.505747126,,,,,,,,,,,,,,,
120,25,color-agents-by-vision,200,2,6,800,1.440217391,,,,,,,,,,,,,,,
121,25,color-agents-by-vision,200,3,6,800,1.776397516,,1.853974791,,,,,,,,,,,,,
122,25,color-agents-by-vision,200,3,6,800,1.853658537,,,,,,,,,,,,,,,
123,25,color-agents-by-vision,200,3,6,800,1.778481013,,,,,,,,,,,,,,,
124,25,color-agents-by-vision,200,3,6,800,1.936708861,,,,,,,,,,,,,,,
125,25,color-agents-by-vision,200,3,6,800,1.83625731,,,,,,,,,,,,,,,
126,25,color-agents-by-vision,200,3,6,800,1.968553459,,,,,,,,,,,,,,,
127,25,color-agents-by-vision,200,3,6,800,1.879746835,,,,,,,,,,,,,,,
128,25,color-agents-by-vision,200,3,6,800,1.786163522,,,,,,,,,,,,,,,
129,25,color-agents-by-vision,200,3,6,800,1.836363636,,,,,,,,,,,,,,,
130,25,color-agents-by-vision,200,3,6,800,1.887417219,,,,,,,,,,,,,,,
131,25,color-agents-by-vision,200,4,6,800,1.803418803,,1.870995167,,,,,,,,,,,,,
132,25,color-agents-by-vision,200,4,6,800,1.81300813,,,,,,,,,,,,,,,
133,25,color-agents-by-vision,200,4,6,800,1.841269841,,,,,,,,,,,,,,,
134,25,color-agents-by-vision,200,4,6,800,1.810344828,,,,,,,,,,,,,,,
135,25,color-agents-by-vision,200,4,6,800,1.991666667,,,,,,,,,,,,,,,
136,25,color-agents-by-vision,200,4,6,800,1.852713178,,,,,,,,,,,,,,,
137,25,color-agents-by-vision,200,4,6,800,2.025,,,,,,,,,,,,,,,
138,25,color-agents-by-vision,200,4,6,800,1.895652174,,,,,,,,,,,,,,,
139,25,color-agents-by-vision,200,4,6,800,1.872,,,,,,,,,,,,,,,
140,25,color-agents-by-vision,200,4,6,800,1.804878049,,,,,,,,,,,,,,,
141,25,color-agents-by-vision,200,5,6,800,1.971153846,,1.929366111,,,,,,,,,,,,,
142,25,color-agents-by-vision,200,5,6,800,2.010526316,,,,,,,,,,,,,,,
143,25,color-agents-by-vision,200,5,6,800,1.869158879,,,,,,,,,,,,,,,
144,25,color-agents-by-vision,200,5,6,800,1.946808511,,,,,,,,,,,,,,,
145,25,color-agents-by-vision,200,5,6,800,2.078431373,,,,,,,,,,,,,,,
146,25,color-agents-by-vision,200,5,6,800,1.96875,,,,,,,,,,,,,,,
147,25,color-agents-by-vision,200,5,6,800,1.876190476,,,,,,,,,,,,,,,
148,25,color-agents-by-vision,200,5,6,800,1.838383838,,,,,,,,,,,,,,,
149,25,color-agents-by-vision,200,5,6,800,1.810344828,,,,,,,,,,,,,,,
150,25,color-agents-by-vision,200,5,6,800,1.923913043,,,,,,,,,,,,,,,
151,25,color-agents-by-vision,200,6,6,800,1.911392405,,1.903982517,,,,,,,,,,,,,
152,25,color-agents-by-vision,200,6,6,800,1.771084337,,,,,,,,,,,,,,,
153,25,color-agents-by-vision,200,6,6,800,1.906976744,,,,,,,,,,,,,,,
154,25,color-agents-by-vision,200,6,6,800,1.974358974,,,,,,,,,,,,,,,
155,25,color-agents-by-vision,200,6,6,800,1.82278481,,,,,,,,,,,,,,,
156,25,color-agents-by-vision,200,6,6,800,2,,,,,,,,,,,,,,,
157,25,color-agents-by-vision,200,6,6,800,1.827586207,,,,,,,,,,,,,,,
158,25,color-agents-by-vision,200,6,6,800,2.058139535,,,,,,,,,,,,,,,
159,25,color-agents-by-vision,200,6,6,800,1.846153846,,,,,,,,,,,,,,,
160,25,color-agents-by-vision,200,6,6,800,1.921348315,,,,,,,,,,,,,,,
161,25,color-agents-by-vision,200,7,6,800,1.784615385,,1.92553753,,,,,,,,,,,,,
162,25,color-agents-by-vision,200,7,6,800,2.265306122,,,,,,,,,,,,,,,
163,25,color-agents-by-vision,200,7,6,800,1.959459459,,,,,,,,,,,,,,,
164,25,color-agents-by-vision,200,7,6,800,1.791666667,,,,,,,,,,,,,,,
165,25,color-agents-by-vision,200,7,6,800,1.831168831,,,,,,,,,,,,,,,
166,25,color-agents-by-vision,200,7,6,800,1.926470588,,,,,,,,,,,,,,,
