BehaviorSpace results (NetLogo 6.2.2),,,,,,,
Sugarscape 2 Constant Growback.nlogo,,,,,,,
experiment,,,,,,,
02/17/2022 16:49:59:663 +0800,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,
0,49,0,49,,,,
[run number],visualization,initial-population,[step],count turtles,,rate-of-survival,mean-rate-of-survival
174,no-visualization,900,1000,403,,44.8%,
175,no-visualization,900,1000,405,,45.0%,
176,no-visualization,900,1000,412,,45.8%,
177,no-visualization,900,1000,401,,44.6%,
178,no-visualization,900,1000,399,,44.3%,
179,no-visualization,900,1000,383,,42.6%,
180,no-visualization,900,1000,396,,44.0%,
181,no-visualization,950,1000,428,,45.1%,44.4%
182,no-visualization,950,1000,429,,45.2%,
183,no-visualization,950,1000,399,,42.0%,
184,no-visualization,950,1000,413,,43.5%,
185,no-visualization,950,1000,416,,43.8%,
186,no-visualization,950,1000,433,,45.6%,
187,no-visualization,950,1000,440,,46.3%,
188,no-visualization,950,1000,417,,43.9%,
189,no-visualization,950,1000,421,,44.3%,
190,no-visualization,950,1000,424,,44.6%,
191,no-visualization,1000,1000,435,,43.5%,42.7%
192,no-visualization,1000,1000,398,,39.8%,
193,no-visualization,1000,1000,411,,41.1%,
194,no-visualization,1000,1000,434,,43.4%,
195,no-visualization,1000,1000,439,,43.9%,
196,no-visualization,1000,1000,454,,45.4%,
197,no-visualization,1000,1000,414,,41.4%,
198,no-visualization,1000,1000,432,,43.2%,
199,no-visualization,1000,1000,448,,44.8%,
200,no-visualization,1000,1000,406,,40.6%,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,0.0%
